org_type,role,aware_paymentworks,paymentworks_actions,paymentworks_difficulties,paymentworks_support_source,aware_transcepta,invoice_submission_method,transcepta_interactions,transcepta_difficulties,transcepta_support_source,ipps_resources_aware,ipps_difficulties,po_clarity_rating,aware_po_nonpayment
Sole Proprietor / Individual,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,I am not aware of any of these resources,I have not experienced any difficulties,4 – Somewhat Clear,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,Transcepta - Email,"N/A, I've never heard of Transcepta","Viewing invoice submission status.,Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections","Transcepta Support,I am unsure who to contact",I am not aware of any of these resources,Other (Please specify):,4 – Somewhat Clear,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Executive-level leadership,Yes,"Contacting PaymentWorks,Finding guidance on PaymentWorks actions","Updating Remittance Details,Finding guidance on PaymentWorks actions,Supplier Registration",PaymentWorks' Payee Knowledge Base,,,,,,,,,
Small Business (per SBA standards),Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Payee Newsletter,Other (Please specify):,1 – Extremely Unclear,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),I am not aware of any of these resources,I have not experienced any difficulties,3 – Neutral,Yes
Large Business,Executive-level leadership,,,,,,,,,,,,,
Non-Profit Organization,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,Other:,"Registering for Transcepta,Finding guidance on Transcepta actions.,Viewing invoice submission status.","Finding guidance on Transcepta actions.,Viewing invoice submission status.,Registering for Transcepta","Transcepta Support,Accounts Payable (payables@ucsd.edu)",Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,3 – Neutral,Yes
Large Business,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Other (Please specify):,Other (Please specify):,1 – Extremely Unclear,Yes
Sole Proprietor / Individual,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,Other:,"Registering for Transcepta,Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections,Viewing invoice submission status.","Finding guidance on Transcepta actions.,Registering for Transcepta",Accounts Payable (payables@ucsd.edu),I am not aware of any of these resources,Other (Please specify):,4 – Somewhat Clear,No
Sole Proprietor / Individual,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),I am not aware of any of these resources,Other (Please specify):,2 – Somewhat Unclear,Yes
Non-Profit Organization,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),Yes,Other:,"Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.,Registering for Transcepta,Viewing invoice submission status.",None of the Above,Procurement (pohelp@ucsd.edu),Payee Onboarding Guide,I have never utilized these resources or support,5 – Extremely Clear,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Onboarding Guide,I have never utilized these resources or support,1 – Extremely Unclear,Yes
Non-Profit Organization,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,N/A - I don’t know how our invoices are submitted in Transcepta,"Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.,Viewing invoice submission status.",Viewing invoice submission status.,"Transcepta Support,Accounts Payable (payables@ucsd.edu)",Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have never utilized these resources or support,N/A – I do not have access to/do not receive Purchase Orders,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have never utilized these resources or support,3 – Neutral,Yes
Sole Proprietor / Individual,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Newsletter,Other (Please specify):,1 – Extremely Unclear,No
Other (please specify):,Executive-level leadership,Yes,Contacting PaymentWorks,None of the above,"Accounts Payable (payables@ucsd.edu),I am unsure who to contact",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Newsletter,I have not experienced any difficulties,1 – Extremely Unclear,Yes
Non-Profit Organization,Sales,Yes,"Updating Remittance Details,Contacting PaymentWorks,Supplier Registration",Contacting PaymentWorks,PaymentWorks Support,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Onboarding Guide,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,2 – Somewhat Unclear,Yes
Sole Proprietor / Individual,Accounts receivable,Yes,"Finding guidance on PaymentWorks actions,Contacting PaymentWorks,Supplier Registration","Updating Remittance Details,Viewing Payment Status","PaymentWorks Support,Procurement (pohelp@ucsd.edu)",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Payee Newsletter,I have not experienced any difficulties,3 – Neutral,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Executive-level leadership,Yes,"N/A, I've never heard of PaymentWorks",None of the above,PaymentWorks Support,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Payee Newsletter,I have not experienced any difficulties,3 – Neutral,No
Sole Proprietor / Individual,Administrative support,Yes,None of the above,"Updating Remittance Details,Updating Company Information","I am unsure who to contact,PaymentWorks' Payee Knowledge Base",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,I am not aware of any of these resources,I have never utilized these resources or support,4 – Somewhat Clear,Yes
Other (please specify):,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Newsletter,I have never utilized these resources or support,N/A – I do not have access to/do not receive Purchase Orders,Yes
Sole Proprietor / Individual,Accounts receivable,Yes,Finding guidance on PaymentWorks actions,Finding guidance on PaymentWorks actions,Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Newsletter,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,5 – Extremely Clear,No
Other (please specify):,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),,,,,,,,,
Non-Profit Organization,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,Transcepta - Email,"Receiving notifications about invoice errors/rejections,Viewing invoice submission status.,Finding guidance on Transcepta actions.,Registering for Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Newsletter,I have not experienced any difficulties,5 – Extremely Clear,No
Non-Profit Organization,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,N/A - I don’t know how our invoices are submitted in Transcepta,"Viewing invoice submission status.,Finding guidance on Transcepta actions.,Registering for Transcepta","Registering for Transcepta,Finding guidance on Transcepta actions.,Viewing invoice submission status.",Transcepta Support,Payee Newsletter,I have not experienced any difficulties,5 – Extremely Clear,Yes
Small Business (per SBA standards),Executive-level leadership,Yes,"N/A, I've never heard of PaymentWorks",Contacting PaymentWorks,"PaymentWorks Support,Accounts Payable (payables@ucsd.edu)",Yes,Other:,"Finding guidance on Transcepta actions.,Viewing invoice submission status.","Viewing invoice submission status.,Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.",Accounts Payable (payables@ucsd.edu),Other (Please specify):,Other (Please specify):,N/A – I do not have access to/do not receive Purchase Orders,No
Large Business,Other:,,,,,,,,,,,,,
Non-Profit Organization,Other:,Yes,Updating Company Information,"Contacting PaymentWorks,Finding guidance on PaymentWorks actions,Updating Company Information","Accounts Payable (payables@ucsd.edu),PaymentWorks' Payee Knowledge Base",Yes,Transcepta - Email,Finding guidance on Transcepta actions.,"Viewing invoice submission status.,Finding guidance on Transcepta actions.,Registering for Transcepta","The person ordering the goods or services,Other (please specify):",I am not aware of any of these resources,Other (Please specify):,3 – Neutral,No
